sentence1,sentence2,label,idx,text,prediction,response
"At Tuesday 's arraignment hearing , Marsh pleaded not guilty to 122 counts of burial service fraud and 47 counts of making false statements .",At the hearing he pleaded not guilty to the burial service fraud and false statements charges .,1,306,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: At Tuesday 's arraignment hearing , Marsh pleaded not guilty to 122 counts of burial service fraud and 47 counts of making false statements .
    Sentence 2: At the hearing he pleaded not guilty to the burial service fraud and false statements charges .
    Score: ",1, 1:
"BAT BATS.L also said Managing Director Paul Adams would step up to chief executive from January 1 , 2004 , to ease the transition .","As part of the changes BAT said managing director , Paul Adams , 50 , would become chief executive from January 1 .",1,1177,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: BAT BATS.L also said Managing Director Paul Adams would step up to chief executive from January 1 , 2004 , to ease the transition .
    Sentence 2: As part of the changes BAT said managing director , Paul Adams , 50 , would become chief executive from January 1 .
    Score: ",0, 0:
"The upcoming second-quarter earnings season will be particularly important in offering investors guidance , they say .",They say second-quarter earnings reports will be key in giving investors that guidance .,1,103,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: The upcoming second-quarter earnings season will be particularly important in offering investors guidance , they say .
    Sentence 2: They say second-quarter earnings reports will be key in giving investors that guidance .
    Score: ",0, 1:
"Tail wagging , Abbey trotted on stage with Conway before a crowd of more than 10,000 attendees at PeopleSoft 's annual customer conference at the Anaheim Convention Center .","On Monday , Abbey trotted on stage , tail wagging , with Conway before a crowd of 10,000 attendees at PeopleSoft 's annual customer conference .",1,1059,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Tail wagging , Abbey trotted on stage with Conway before a crowd of more than 10,000 attendees at PeopleSoft 's annual customer conference at the Anaheim Convention Center .
    Sentence 2: On Monday , Abbey trotted on stage , tail wagging , with Conway before a crowd of 10,000 attendees at PeopleSoft 's annual customer conference .
    Score: ",1, 1:
A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night .,A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room .,0,1341,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night .
    Sentence 2: A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room .
    Score: ",0, 0:
Pollack said the plaintiffs failed to show that Merrill and Blodget directly caused their losses .,"Basically , the plaintiffs did not show that omissions in Merrill 's research caused the claimed losses .",1,879,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Pollack said the plaintiffs failed to show that Merrill and Blodget directly caused their losses .
    Sentence 2: Basically , the plaintiffs did not show that omissions in Merrill 's research caused the claimed losses .
    Score: ",0, 1:
"The technology-laced Nasdaq Composite Index .IXIC fell 23.54 points , or 1.42 percent , to 1,630.08 .","The broader Standard & Poor 's 500 Index .SPX gave up 11.91 points , or 1.19 percent , at 986.60 .",0,302,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: The technology-laced Nasdaq Composite Index .IXIC fell 23.54 points , or 1.42 percent , to 1,630.08 .
    Sentence 2: The broader Standard & Poor 's 500 Index .SPX gave up 11.91 points , or 1.19 percent , at 986.60 .
    Score: ",0, 0:
Spitzer was among a group of federal and state regulators who negotiated a $ 1.4 billion settlement with 10 brokerage houses to settle investigations of analyst conflicts of interest .,Spitzer was among a group of federal and state regulators who negotiated a $ 1.4 billion settlement with 10 brokerages over analyst conflict-of-interest allegations .,1,184,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Spitzer was among a group of federal and state regulators who negotiated a $ 1.4 billion settlement with 10 brokerage houses to settle investigations of analyst conflicts of interest .
    Sentence 2: Spitzer was among a group of federal and state regulators who negotiated a $ 1.4 billion settlement with 10 brokerages over analyst conflict-of-interest allegations .
    Score: ",1, 1:
"Woodley , 44 , died of liver and kidney failure Sunday at a hospital in his native Shreveport , La . , said his niece , Lucy Woodley .","Mr. Woodley died Sunday at age 44 of liver and kidney failure in his native Shreveport , La .",1,701,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Woodley , 44 , died of liver and kidney failure Sunday at a hospital in his native Shreveport , La . , said his niece , Lucy Woodley .
    Sentence 2: Mr. Woodley died Sunday at age 44 of liver and kidney failure in his native Shreveport , La .
    Score: ",1, 1:
"Eight firefighters also suffered minor injuries , including burns , heat exhaustion , bruises and muscle strain , and were treated and released from the hospital , fire officials said .","Eight firefighters also suffered minor injuries , including burns , heat , bruises and muscle strain , fire officials said .",0,357,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Eight firefighters also suffered minor injuries , including burns , heat exhaustion , bruises and muscle strain , and were treated and released from the hospital , fire officials said .
    Sentence 2: Eight firefighters also suffered minor injuries , including burns , heat , bruises and muscle strain , fire officials said .
    Score: ",0, 1:
"ALBANY , N.Y. State Senate Majority Leader Joseph Bruno announced Friday he has been diagnosed with prostate cancer .","LBANY , Aug. 8 Joseph L. Bruno , the State Senate majority leader , announced today that he had prostate cancer .",1,1634,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: ALBANY , N.Y. State Senate Majority Leader Joseph Bruno announced Friday he has been diagnosed with prostate cancer .
    Sentence 2: LBANY , Aug. 8 Joseph L. Bruno , the State Senate majority leader , announced today that he had prostate cancer .
    Score: ",0, 1:
"Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence , a Corrections Department official said .",A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street .,1,1510,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence , a Corrections Department official said .
    Sentence 2: A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street .
    Score: ",1, 1:
Forecasters said warnings might go up for Cuba later Thursday .,Watches or warnings could be issued for eastern Cuba later on Thursday .,1,683,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Forecasters said warnings might go up for Cuba later Thursday .
    Sentence 2: Watches or warnings could be issued for eastern Cuba later on Thursday .
    Score: ",0, 0:
Yee is a Chinese-American who converted to Islam after graduating from the U.S. Military Academy at West Point .,"Yee is a 1990 graduate of the U.S. Military Academy at West Point , New York .",0,612,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Yee is a Chinese-American who converted to Islam after graduating from the U.S. Military Academy at West Point .
    Sentence 2: Yee is a 1990 graduate of the U.S. Military Academy at West Point , New York .
    Score: ",1, 1:
The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis .,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country .,1,143,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis .
    Sentence 2: The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country .
    Score: ",1, 1:
She says the King County medical examiner 's office has confirmed the remains are human .,"At 2 : 25 p.m. , the King County medical examiner confirmed the remains were human , Larson said .",1,748,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: She says the King County medical examiner 's office has confirmed the remains are human .
    Sentence 2: At 2 : 25 p.m. , the King County medical examiner confirmed the remains were human , Larson said .
    Score: ",1, 1:
Iran has yet to sign an additional protocol to the NPT treaty which would allow U.N. inspections at short notice .,"Iran has yet to sign an additional protocol to the Nuclear Non-Proliferation Treaty , which it signed in 1970 , that would allow IAEA inspections at short notice .",1,436,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Iran has yet to sign an additional protocol to the NPT treaty which would allow U.N. inspections at short notice .
    Sentence 2: Iran has yet to sign an additional protocol to the Nuclear Non-Proliferation Treaty , which it signed in 1970 , that would allow IAEA inspections at short notice .
    Score: ",0, 1:
"In New Hampshire yesterday , Mr Bush reiterated Saddam 's regime "" possessed and used weapons of mass destruction , sponsored terrorist groups and inflicted terror on its own people "" .",""" The regime of Saddam Hussein possessed and used weapons of mass destruction , sponsored terrorist groups and inflicted terror on its own people . """,1,304,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: In New Hampshire yesterday , Mr Bush reiterated Saddam 's regime "" possessed and used weapons of mass destruction , sponsored terrorist groups and inflicted terror on its own people "" .
    Sentence 2: "" The regime of Saddam Hussein possessed and used weapons of mass destruction , sponsored terrorist groups and inflicted terror on its own people . ""
    Score: ",1, 1:
"The 30-year bond US30YT = RR firmed 31 / 32 , taking its yield to 4.16 percent -- another record low -- from 4.22 percent .","The 30-year bond < US30YT = RR > firmed 24 / 32 , taking its yield to 4.18 percent , after hitting another record low of 4.16 percent .",0,1166,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: The 30-year bond US30YT = RR firmed 31 / 32 , taking its yield to 4.16 percent -- another record low -- from 4.22 percent .
    Sentence 2: The 30-year bond < US30YT = RR > firmed 24 / 32 , taking its yield to 4.18 percent , after hitting another record low of 4.16 percent .
    Score: ",1, 1:
Mr McDonnell is leading Grant Thornton International 's inquiry into the Italian business .,Mr McDonnell wants to establish if the Italian business followed Grant Thornton 's audit procedures .,0,1698,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Mr McDonnell is leading Grant Thornton International 's inquiry into the Italian business .
    Sentence 2: Mr McDonnell wants to establish if the Italian business followed Grant Thornton 's audit procedures .
    Score: ",0, 1:
"Still , analysts said they were disappointed by the company 's 68 million pretax charge for weather-related and test failure costs on its Polar Tanker crude oil tanker program .",Analysts also said they were disappointed by the company 's $ 68 million pre-tax charge for weather-related and overhead costs on its Polar Tanker crude oil tanker program .,1,1302,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Still , analysts said they were disappointed by the company 's 68 million pretax charge for weather-related and test failure costs on its Polar Tanker crude oil tanker program .
    Sentence 2: Analysts also said they were disappointed by the company 's $ 68 million pre-tax charge for weather-related and overhead costs on its Polar Tanker crude oil tanker program .
    Score: ",1, 1:
